nworkers,time,speedup,efficiency
1,52820.0,1.0,100.0
2,27480.0,1.922,96.11
4,18360.0,2.877,71.92
6,9678.0,5.457,90.96
8,9970.0,5.298,66.22
10,6618.0,7.981,79.81
12,5177.0,10.2,85.02
14,4353.0,12.13,86.67
16,3902.0,13.54,84.61
24,2883.0,18.32,76.32
32,2475.0,21.34,66.69
