nworkers,time,speedup,efficiency
1,610700.0,1.0,100.0
2,311500.0,1.961,98.04
4,155800.0,3.921,98.01
6,106600.0,5.729,95.49
8,81920.0,7.455,93.18
10,63020.0,9.69,96.9
12,54090.0,11.29,94.09
14,47390.0,12.89,92.05
16,41590.0,14.69,91.78
24,31880.0,19.16,79.81
32,22460.0,27.19,84.98
