nworkers,time,speedup,efficiency
1,52820.0,1.0,100.0
2,26380.0,2.002,100.1
4,13510.0,3.909,97.73
6,8852.0,5.966,99.44
8,6985.0,7.562,94.52
10,5519.0,9.57,95.7
12,4494.0,11.75,97.95
14,3945.0,13.39,95.63
16,3483.0,15.17,94.78
24,2494.0,21.18,88.25
32,1913.0,27.61,86.28
