nworkers,time,strong_scalability
1,244400.0,1.0
2,121500.0,2.011
4,61410.0,3.979
6,41020.0,5.958
8,31100.0,7.858
10,25030.0,9.762
12,20980.0,11.65
14,19160.0,12.75
16,16150.0,15.13
24,11430.0,21.38
32,8681.0,28.15
