nworkers,time,strong_scalability
1,54370.0,1.0
2,29270.0,1.858
4,14400.0,3.775
6,10460.0,5.198
8,9769.0,5.566
10,6571.0,8.274
12,5472.0,9.936
14,4404.0,12.35
16,3780.0,14.38
24,2827.0,19.24
32,2664.0,20.41
