nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,112.2,1.812,90.58
4,63.82,3.184,79.61
6,48.06,4.228,70.47
8,40.42,5.028,62.85
10,37.29,5.449,54.49
12,36.88,5.51,45.91
14,33.79,6.014,42.96
16,34.35,5.917,36.98
24,36.88,5.511,22.96
32,41.89,4.852,15.16
