nworkers,time,speedup,efficiency
1,610700.0,1.0,100.0
2,316500.0,1.929,96.47
4,156900.0,3.891,97.28
6,108300.0,5.638,93.97
8,82100.0,7.438,92.98
10,62950.0,9.701,97.01
12,52870.0,11.55,96.26
14,51940.0,11.76,83.98
16,42080.0,14.51,90.7
24,29500.0,20.7,86.25
32,24230.0,25.2,78.76
