nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,109.7,1.853,92.65
4,60.81,3.342,83.55
6,45.13,4.503,75.06
8,36.34,5.592,69.9
10,32.92,6.174,61.74
12,30.35,6.696,55.8
14,27.86,7.294,52.1
16,27.32,7.439,46.49
24,26.07,7.796,32.48
32,26.85,7.568,23.65
