nworkers,time,strong_scalability
1,215.9,1.0
2,134.8,1.601
4,84.84,2.544
6,70.47,3.064
8,70.86,3.047
10,70.62,3.057
12,80.04,2.697
14,84.45,2.556
16,90.57,2.384
24,107.5,2.008
32,129.9,1.662
