nworkers,time,speedup,efficiency
1,243400.0,1.0,100.0
2,122900.0,1.981,99.04
4,65600.0,3.71,92.75
6,41750.0,5.83,97.16
8,39880.0,6.103,76.29
10,32210.0,7.557,75.57
12,22110.0,11.01,91.74
14,34970.0,6.961,49.72
16,21590.0,11.27,70.45
24,13190.0,18.45,76.89
32,15350.0,15.86,49.56
