nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,109.9,1.85,92.49
4,61.35,3.312,82.81
6,45.1,4.506,75.1
8,36.25,5.607,70.08
10,32.9,6.176,61.76
12,30.41,6.683,55.69
14,27.73,7.329,52.35
16,26.97,7.535,47.09
24,25.73,7.898,32.91
32,26.37,7.706,24.08
