nworkers,time,speedup,efficiency
1,243400.0,1.0,100.0
2,127300.0,1.912,95.58
4,75250.0,3.234,80.86
6,42760.0,5.692,94.86
8,32670.0,7.451,93.13
10,26610.0,9.147,91.47
12,22080.0,11.02,91.85
14,34820.0,6.991,49.93
16,20090.0,12.11,75.71
24,15060.0,16.16,67.35
32,29700.0,8.195,25.61
