nworkers,time,strong_scalability
1,621200.0,1.0
2,315400.0,1.97
4,162300.0,3.827
6,107800.0,5.765
8,91280.0,6.806
10,63680.0,9.756
12,53010.0,11.72
14,48080.0,12.92
16,42330.0,14.68
24,30880.0,20.12
32,25760.0,24.11
