nworkers,time,strong_scalability
1,250200.0,1.0
2,127300.0,1.965
4,75250.0,3.325
6,42760.0,5.852
8,32670.0,7.66
10,26610.0,9.404
12,22080.0,11.33
14,34820.0,7.187
16,20090.0,12.45
24,15060.0,16.62
32,29700.0,8.425
