nworkers,time,speedup,efficiency
1,15690.0,1.0,100.0
2,8267.0,1.898,94.91
4,4465.0,3.514,87.86
6,2841.0,5.524,92.07
8,2472.0,6.348,79.35
10,1828.0,8.584,85.84
12,1485.0,10.57,88.06
14,1275.0,12.31,87.93
16,1156.0,13.58,84.87
24,899.0,17.46,72.74
32,868.0,18.08,56.5
