nworkers,time,strong_scalability
1,624200.0,1.0
2,334100.0,1.869
4,165600.0,3.769
6,136300.0,4.58
8,107400.0,5.811
10,74390.0,8.391
12,54380.0,11.48
14,55350.0,11.28
16,54490.0,11.46
24,58190.0,10.73
32,46660.0,13.38
