nworkers,time,speedup,efficiency
1,15690.0,1.0,100.0
2,7665.0,2.047,102.3
4,4009.0,3.914,97.84
6,2528.0,6.206,103.4
8,1948.0,8.054,100.7
10,1580.0,9.93,99.3
12,1301.0,12.06,100.5
14,1140.0,13.76,98.31
16,995.7,15.76,98.49
24,699.7,22.42,93.43
32,578.9,27.1,84.7
