nworkers,time,speedup,efficiency
1,52820.0,1.0,100.0
2,27570.0,1.916,95.79
4,14670.0,3.599,89.98
6,14180.0,3.725,62.08
8,7917.0,6.671,83.39
10,6958.0,7.59,75.9
12,5560.0,9.499,79.16
14,4385.0,12.04,86.03
16,3749.0,14.09,88.05
24,2819.0,18.73,78.06
32,2630.0,20.08,62.76
