nworkers,time,strong_scalability
1,244600.0,1.0
2,121400.0,2.014
4,61550.0,3.974
6,43030.0,5.684
8,31130.0,7.857
10,25120.0,9.735
12,21400.0,11.43
14,18460.0,13.25
16,16280.0,15.02
24,11350.0,21.56
32,8929.0,27.39
