nworkers,time,speedup,efficiency
1,15690.0,1.0,100.0
2,8459.0,1.855,92.74
4,4776.0,3.285,82.13
6,3388.0,4.631,77.18
8,2122.0,7.394,92.42
10,1839.0,8.532,85.32
12,1453.0,10.8,89.99
14,1206.0,13.01,92.93
16,1166.0,13.46,84.1
24,902.6,17.38,72.43
32,860.2,18.24,57.0
